Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_avg
21-11-2022,24.6,32.8,27.5,84,2.5,2.4,1
22-11-2022,25.4,32.6,26.7,90,0,3.7,2
23-11-2022,23.8,31.8,25.6,89,33.9,4.3,1
24-11-2022,22.7,33.4,26.7,84,32,2,1
25-11-2022,24.6,32.4,27.8,82,0,5.8,1
26-11-2022,22.9,34.2,27.6,80,0.8,3.8,1
27-11-2022,24.2,33.1,27.7,85,5.8,5.7,1
28-11-2022,23.6,33.2,27.3,85,2.9,5.3,2
29-11-2022,24,33.4,27.7,84,1.5,4.8,1
30-11-2022,24,31.8,27.1,87,7,4,1
01-12-2022,23.6,33.4,27.3,84,3.4,1.4,2
02-12-2022,23.8,32,27,85,0,4.7,1
03-12-2022,23.4,30.8,25.4,95,10.2,0.5,1
04-12-2022,23.3,31.2,25.8,91,22.6,3,1
05-12-2022,24.3,32.7,26.8,88,0,4.2,1
06-12-2022,23.2,33.4,27.1,88,26.9,2.1,1
07-12-2022,23.3,34.4,28.4,77,8888,7.2,1
08-12-2022,23.4,34.6,28.2,80,0,8.4,1
09-12-2022,23.8,33.6,27,87,0,8.3,1
10-12-2022,24.2,34,28.5,80,0,6.8,2
11-12-2022,24.6,31.2,26.5,90,7,7.3,0
12-12-2022,23.8,32.1,27.5,86,28.4,2.1,1
13-12-2022,24.8,32.8,27.5,86,0.8,6.1,1
14-12-2022,24.4,29.4,26,92,15.4,3.1,0
15-12-2022,24.6,32.8,26,91,0.4,1.3,1
16-12-2022,23.8,33.6,27.5,85,11.8,2.1,2
17-12-2022,23.8,33.4,27.9,79,2,6.7,2
18-12-2022,25.4,30.8,27.4,85,0,5.8,1
19-12-2022,23.8,33.5,28.2,81,1,0,2
20-12-2022,24.4,33,27.7,82,0,4.7,3
21-12-2022,23.4,34.6,29.4,74,8888,4.2,2
22-12-2022,22.8,34.6,28.4,76,0,9,1
23-12-2022,25.4,33.4,28.7,77,0,7.5,2
24-12-2022,25.7,31.3,27.9,76,0,4.8,3
25-12-2022,24.2,32.2,28.8,74,0,0.6,1
26-12-2022,23.6,29.4,26,86,2.6,1,1
27-12-2022,23.6,32.4,25.8,90,0.5,0,1
28-12-2022,24,30.8,26.8,84,6.2,2.4,1
29-12-2022,23,33.8,28.2,76,0,0,2
30-12-2022,25.2,34,28.8,74,0,8.2,2
31-12-2022,24.6,32.8,27.8,80,8888,4.2,2
01-01-2023,24.6,35.2,28.7,79,0,4.4,1
02-01-2023,24.8,34.4,,,0,6.6,2
03-01-2023,24.8,32.6,28.3,75,0,7.7,4
04-01-2023,24.9,31.4,27.4,79,0,2.5,2
05-01-2023,25,34,28.3,72,0,0.5,3
06-01-2023,24.2,34,,,0,7.8,2
07-01-2023,24.8,33,28.5,77,0,7.5,2
08-01-2023,24.8,32.2,28.1,81,8888,2.6,1
09-01-2023,24,31.4,26.7,82,0.3,0.4,2
10-01-2023,22.9,33.3,26.4,82,0,0.8,3
11-01-2023,22.2,32.6,26.9,80,0,3.6,2
12-01-2023,22.2,34.8,26.8,82,0,2.6,1
13-01-2023,23.6,34.4,28.4,79,8888,4.8,2
14-01-2023,23.6,35.2,28.9,80,0,7.2,1
15-01-2023,24,33.4,27.6,84,0,5.9,1
16-01-2023,24,32.8,28.2,84,2.2,1.7,1
17-01-2023,25.2,32.8,27.7,85,0,2.4,1
18-01-2023,23.8,32.6,26.8,86,3,4.2,1
19-01-2023,23.8,32.8,27,82,8888,4.9,1
20-01-2023,23.2,33.4,26.7,86,0,2.8,1
21-01-2023,23.4,32.2,26.3,87,0,4.3,1
22-01-2023,22.8,34.8,28.4,81,2.8,2.1,2
23-01-2023,24.2,34,28,80,8888,5,2
24-01-2023,23.4,33,27.3,82,0,9999,2
25-01-2023,24,32,27.2,85,8888,5.6,1
26-01-2023,24.2,,27.8,82,3.4,3,1
27-01-2023,24.2,23.9,26.3,87,9.5,6.3,1
28-01-2023,23.9,31.8,27.1,86,5.9,1.3,1
29-01-2023,24.4,32,26.6,90,0,1.9,2
30-01-2023,22.8,33.4,26.6,87,33.5,1.5,1
31-01-2023,24,30.6,26.6,88,1.5,4.9,1
01-02-2023,23.4,30.2,26.2,88,8888,0.7,1
02-02-2023,24.3,33,26.9,88,6.5,0.2,1
03-02-2023,23.5,32.3,26.3,88,12.6,3.4,1
04-02-2023,23.8,31.8,27,84,8888,1.7,1
05-02-2023,24,32.4,27.5,84,0,1.5,2
06-02-2023,24.4,33.5,28.2,82,1.5,1.7,2
07-02-2023,25,32.2,27.8,83,0,7.2,1
08-02-2023,25,33.6,28.4,77,0,1.4,1
09-02-2023,25,30.2,27.2,83,8888,3.4,1
10-02-2023,24.8,33.3,28.3,78,8888,0,1
11-02-2023,24.4,33.7,27.7,84,0,3.5,0
12-02-2023,24.8,32.8,27.9,85,7.8,4.9,1
13-02-2023,24.2,30,26.4,85,9.5,2.1,3
14-02-2023,25,33.6,28.4,74,8888,0.7,5
15-02-2023,24.4,34.5,28.4,78,0,5.3,1
16-02-2023,25.4,32.2,28.3,80,0.8,5.1,3
17-02-2023,23.8,35,28.2,77,0,0,3
18-02-2023,24.8,34,28.5,76,0,8.5,2
19-02-2023,24.8,34.2,28.7,72,0,4.4,4
20-02-2023,25.2,33.2,28.4,82,0,6.7,1
21-02-2023,24.3,35.4,27.3,86,2.5,1.5,2
22-02-2023,25,32.3,27.8,86,10.5,4.4,1
23-02-2023,24.4,,27.3,86,0,3.4,1
24-02-2023,24.6,32,27.2,86,8888,2.8,1
25-02-2023,25.2,32.1,27.8,84,0,1.9,1
26-02-2023,23.8,32.8,26.9,84,0,1.1,1
27-02-2023,24.2,32.6,26.9,82,1.4,3.8,2
28-02-2023,24,32,27.1,86,5.8,1.8,1
01-03-2023,24,32.6,27.6,81,5.8,2.6,1
02-03-2023,24.6,34.2,28.3,78,8888,9999,1
03-03-2023,23,34.4,27.5,82,22.5,4.5,2
04-03-2023,24.4,30.6,26.5,89,8.5,7.2,2
05-03-2023,24,33.4,27,81,2.1,2.6,2
06-03-2023,23.4,33.4,27.6,80,4.2,4,3
07-03-2023,24,34.8,28.2,80,8888,2.5,2
08-03-2023,25.2,31.3,27.4,86,0,8.3,1
09-03-2023,24.6,31.6,27.1,82,0.9,0,1
10-03-2023,24.3,32.6,27.2,88,0.9,3.7,1
11-03-2023,25,31.5,27.5,88,1.1,4.4,1
12-03-2023,24.6,32.8,27.3,87,5.5,1.2,1
13-03-2023,23.8,32,27.1,81,6.2,6.3,1
14-03-2023,24.6,32.3,26.5,91,0.5,3.9,1
15-03-2023,23.8,33.2,27.2,85,11.5,3.6,1
16-03-2023,23.8,34.2,27.7,83,6,4,1
17-03-2023,25.2,33.6,28.4,81,0,8.8,2
18-03-2023,24.8,32.4,27.1,88,0,6.4,2
19-03-2023,24.2,32.2,27.7,82,2,4,2
20-03-2023,23.6,31.1,26.8,86,0,5.4,1
21-03-2023,24,33,27.8,84,0,3.9,1
22-03-2023,23.6,32.9,26.8,83,10,4.3,1
23-03-2023,24.6,32.4,28,83,0.5,3,1
